seconds,utc_unixtimestamp,donation_id,donation_amount,cumulative_donation_amount
-1716585,1513608015,384533,5.00,5.00
-766078,1514558522,384539,5.00,10.00
-312256,1515012344,384542,5.00,15.00
-62587,1515262013,384551,10.00,25.00
-14774,1515309826,384558,5.00,30.00
-12143,1515312457,384559,20.00,50.00
-8252,1515316348,384562,20.00,70.00
-7122,1515317478,384564,5.00,75.00
-2906,1515321694,384573,100.00,175.00
-706,1515323894,384585,10.00,185.00
-547,1515324053,384588,5.00,190.00
-424,1515324176,384590,30.00,220.00
34,1515324634,384593,30.00,250.00
91,1515324691,384594,50.00,300.00
175,1515324775,384597,5.00,305.00
211,1515324811,384598,50.00,355.00
243,1515324843,384599,20.00,375.00
295,1515324895,384601,5.00,380.00
298,1515324898,384602,7.00,387.00
338,1515324938,384604,20.00,407.00
343,1515324943,384605,5.00,412.00
358,1515324958,384606,25.00,437.00
361,1515324961,384607,25.00,462.00
369,1515324969,384608,5.00,467.00
384,1515324984,384609,30.00,497.00
389,1515324989,384610,30.00,527.00
407,1515325007,384611,100.00,627.00
445,1515325045,384615,200.00,827.00
446,1515325046,384616,10.00,837.00
461,1515325061,384617,20.00,857.00
472,1515325072,384618,5.00,862.00
500,1515325100,384620,10.00,872.00
511,1515325111,384621,10.00,882.00
536,1515325136,384622,5.00,887.00
595,1515325195,384623,15.00,902.00
639,1515325239,384625,10.00,912.00
644,1515325244,384626,5.00,917.00
669,1515325269,384628,50.00,967.00
678,1515325278,384630,20.00,987.00
682,1515325282,384631,100.00,1087.00
700,1515325300,384632,5.00,1092.00
726,1515325326,384634,10.00,1102.00
730,1515325330,384635,5.00,1107.00
775,1515325375,384636,10.00,1117.00
779,1515325379,384637,10.00,1127.00
791,1515325391,384638,6.66,1133.66
838,1515325438,384639,50.00,1183.66
844,1515325444,384640,50.00,1233.66
854,1515325454,384641,5.00,1238.66
855,1515325455,384642,50.00,1288.66
908,1515325508,384644,5.00,1293.66
934,1515325534,384645,30.00,1323.66
937,1515325537,384646,25.00,1348.66
941,1515325541,384648,5.00,1353.66
954,1515325554,384649,5.00,1358.66
960,1515325560,384650,15.00,1373.66
961,1515325561,384651,5.00,1378.66
1054,1515325654,384655,100.00,1478.66
1063,1515325663,384656,20.00,1498.66
1075,1515325675,384658,10.00,1508.66
1085,1515325685,384660,50.00,1558.66
1127,1515325727,384661,10.00,1568.66
1135,1515325735,384662,30.00,1598.66
1146,1515325746,384663,5.00,1603.66
1157,1515325757,384664,20.00,1623.66
1211,1515325811,384667,15.00,1638.66
1212,1515325812,384669,20.00,1658.66
1235,1515325835,384670,16.00,1674.66
1237,1515325837,384671,25.00,1699.66
1269,1515325869,384672,50.00,1749.66
1311,1515325911,384673,5.00,1754.66
1397,1515325997,384675,20.18,1774.84
1436,1515326036,384677,100.00,1874.84
1448,1515326048,384679,20.00,1894.84
1455,1515326055,384680,150.00,2044.84
1459,1515326059,384681,10.00,2054.84
1509,1515326109,384683,20.00,2074.84
1558,1515326158,384685,10.00,2084.84
1582,1515326182,384686,5.00,2089.84
1601,1515326201,384688,10.00,2099.84
1631,1515326231,384689,5.00,2104.84
1645,1515326245,384690,10.00,2114.84
1680,1515326280,384691,10.00,2124.84
1683,1515326283,384692,25.00,2149.84
1688,1515326288,384693,15.00,2164.84
1703,1515326303,384694,10.00,2174.84
1734,1515326334,384696,5.00,2179.84
1752,1515326352,384697,10.00,2189.84
1766,1515326366,384698,5.00,2194.84
1804,1515326404,384699,10.00,2204.84
1859,1515326459,384701,50.00,2254.84
1872,1515326472,384703,20.00,2274.84
1874,1515326474,384704,10.00,2284.84
1875,1515326475,384705,100.00,2384.84
1888,1515326488,384707,30.00,2414.84
1893,1515326493,384708,15.00,2429.84
1923,1515326523,384709,20.00,2449.84
1926,1515326526,384710,10.00,2459.84
1926,1515326526,384711,5.00,2464.84
1943,1515326543,384712,20.00,2484.84
1952,1515326552,384713,50.00,2534.84
1991,1515326591,384714,30.00,2564.84
1992,1515326592,384715,50.00,2614.84
2018,1515326618,384716,30.00,2644.84
2024,1515326624,384717,50.00,2694.84
2026,1515326626,384718,28.06,2722.90
2029,1515326629,384719,5.00,2727.90
2040,1515326640,384721,20.00,2747.90
2063,1515326663,384723,25.00,2772.90
2072,1515326672,384724,50.00,2822.90
2075,1515326675,384725,10.00,2832.90
2083,1515326683,384726,10.00,2842.90
2102,1515326702,384728,10.00,2852.90
2102,1515326702,384729,25.00,2877.90
2113,1515326713,384730,10.00,2887.90
2114,1515326714,384731,150.00,3037.90
2132,1515326732,384732,8.00,3045.90
2144,1515326744,384733,10.00,3055.90
2146,1515326746,384734,10.00,3065.90
2147,1515326747,384735,10.00,3075.90
2149,1515326749,384736,30.00,3105.90
2158,1515326758,384737,50.00,3155.90
2163,1515326763,384738,7.77,3163.67
2172,1515326772,384739,5.00,3168.67
2187,1515326787,384740,15.00,3183.67
2196,1515326796,384741,50.00,3233.67
2215,1515326815,384742,50.00,3283.67
2222,1515326822,384743,150.00,3433.67
2251,1515326851,384744,5.00,3438.67
2261,1515326861,384745,5.00,3443.67
2274,1515326874,384746,20.00,3463.67
2289,1515326889,384747,25.00,3488.67
2295,1515326895,384748,5.00,3493.67
2310,1515326910,384749,15.00,3508.67
2331,1515326931,384750,20.00,3528.67
2349,1515326949,384751,50.00,3578.67
2359,1515326959,384752,10.00,3588.67
2413,1515327013,384754,150.00,3738.67
2417,1515327017,384755,10.00,3748.67
2433,1515327033,384756,150.00,3898.67
2434,1515327034,384757,10.00,3908.67
2439,1515327039,384758,150.00,4058.67
2456,1515327056,384759,5.00,4063.67
2509,1515327109,384760,1000.00,5063.67
2514,1515327114,384761,10.00,5073.67
2519,1515327119,384762,75.00,5148.67
2536,1515327136,384763,50.00,5198.67
2540,1515327140,384764,100.00,5298.67
2599,1515327199,384766,5.00,5303.67
2623,1515327223,384767,50.00,5353.67
2635,1515327235,384768,100.00,5453.67
2642,1515327242,384769,50.00,5503.67
2644,1515327244,384770,15.00,5518.67
2687,1515327287,384771,10.00,5528.67
2698,1515327298,384772,5.00,5533.67
2700,1515327300,384773,10.00,5543.67
2717,1515327317,384774,100.00,5643.67
2744,1515327344,384776,10.00,5653.67
2755,1515327355,384778,10.00,5663.67
2794,1515327394,384781,20.00,5683.67
2798,1515327398,384782,50.00,5733.67
2815,1515327415,384784,30.00,5763.67
2828,1515327428,384785,100.00,5863.67
2833,1515327433,384786,20.00,5883.67
2839,1515327439,384788,10.00,5893.67
2839,1515327439,384789,5.00,5898.67
2841,1515327441,384790,20.00,5918.67
2844,1515327444,384791,20.00,5938.67
2868,1515327468,384793,50.00,5988.67
2869,1515327469,384794,5.00,5993.67
2872,1515327472,384795,50.00,6043.67
2873,1515327473,384796,5.00,6048.67
2876,1515327476,384797,5.00,6053.67
2879,1515327479,384798,5.00,6058.67
2891,1515327491,384799,20.00,6078.67
2892,1515327492,384800,5.00,6083.67
2899,1515327499,384801,15.00,6098.67
2899,1515327499,384802,10.00,6108.67
2899,1515327499,384803,5.00,6113.67
2903,1515327503,384805,10.00,6123.67
2911,1515327511,384806,10.00,6133.67
2920,1515327520,384809,30.00,6163.67
2921,1515327521,384810,100.00,6263.67
2923,1515327523,384811,25.00,6288.67
2924,1515327524,384812,50.00,6338.67
2927,1515327527,384813,5.00,6343.67
2927,1515327527,384814,150.00,6493.67
2927,1515327527,384815,20.00,6513.67
2929,1515327529,384816,5.00,6518.67
2930,1515327530,384818,20.00,6538.67
2933,1515327533,384819,5.00,6543.67
2934,1515327534,384820,5.00,6548.67
2937,1515327537,384821,50.00,6598.67
2938,1515327538,384822,15.00,6613.67
2939,1515327539,384823,10.00,6623.67
2944,1515327544,384825,20.00,6643.67
2945,1515327545,384826,5.00,6648.67
2947,1515327547,384827,5.05,6653.72
2956,1515327556,384829,17.00,6670.72
2969,1515327569,384832,5.00,6675.72
2969,1515327569,384833,10.00,6685.72
2972,1515327572,384834,20.00,6705.72
2979,1515327579,384836,20.00,6725.72
2984,1515327584,384837,50.00,6775.72
2987,1515327587,384839,10.00,6785.72
2987,1515327587,384840,25.00,6810.72
2990,1515327590,384841,10.00,6820.72
2991,1515327591,384842,5.00,6825.72
3003,1515327603,384845,15.00,6840.72
3004,1515327604,384846,5.00,6845.72
3005,1515327605,384848,10.00,6855.72
3016,1515327616,384849,25.00,6880.72
3016,1515327616,384850,20.00,6900.72
3023,1515327623,384851,5.00,6905.72
3025,1515327625,384852,25.00,6930.72
3027,1515327627,384853,10.00,6940.72
3030,1515327630,384854,30.00,6970.72
3037,1515327637,384855,15.00,6985.72
3055,1515327655,384858,10.00,6995.72
3059,1515327659,384859,20.00,7015.72
3059,1515327659,384860,100.00,7115.72
3060,1515327660,384861,10.00,7125.72
3065,1515327665,384863,15.00,7140.72
3072,1515327672,384866,50.00,7190.72
3077,1515327677,384868,10.00,7200.72
3078,1515327678,384869,5.00,7205.72
3087,1515327687,384871,20.00,7225.72
3088,1515327688,384872,5.00,7230.72
3091,1515327691,384873,5.00,7235.72
3094,1515327694,384874,50.00,7285.72
3099,1515327699,384875,6.66,7292.38
3115,1515327715,384877,10.00,7302.38
3120,1515327720,384878,25.00,7327.38
3136,1515327736,384881,50.00,7377.38
3137,1515327737,384882,20.00,7397.38
3141,1515327741,384883,20.00,7417.38
3142,1515327742,384884,30.00,7447.38
3144,1515327744,384885,5.00,7452.38
3152,1515327752,384887,15.00,7467.38
3154,1515327754,384888,50.00,7517.38
3163,1515327763,384889,10.00,7527.38
3167,1515327767,384890,10.00,7537.38
3178,1515327778,384892,10.00,7547.38
3189,1515327789,384893,50.00,7597.38
3197,1515327797,384894,50.00,7647.38
3198,1515327798,384895,15.00,7662.38
3199,1515327799,384896,5.00,7667.38
3200,1515327800,384897,5.00,7672.38
3211,1515327811,384898,10.00,7682.38
3212,1515327812,384899,15.00,7697.38
3215,1515327815,384900,150.00,7847.38
3223,1515327823,384901,50.00,7897.38
3226,1515327826,384902,20.00,7917.38
3226,1515327826,384903,20.00,7937.38
3229,1515327829,384904,30.00,7967.38
3232,1515327832,384905,30.00,7997.38
3259,1515327859,384907,50.00,8047.38
3266,1515327866,384908,20.00,8067.38
3267,1515327867,384909,10.00,8077.38
3280,1515327880,384910,100.00,8177.38
3285,1515327885,384911,5.00,8182.38
3287,1515327887,384912,150.00,8332.38
3318,1515327918,384914,30.00,8362.38
3319,1515327919,384915,100.00,8462.38
3319,1515327919,384916,20.00,8482.38
3330,1515327930,384917,30.00,8512.38
3331,1515327931,384918,15.00,8527.38
3336,1515327936,384919,10.00,8537.38
3343,1515327943,384922,5.00,8542.38
3371,1515327971,384927,10.00,8552.38
3374,1515327974,384928,150.00,8702.38
3381,1515327981,384929,30.00,8732.38
3382,1515327982,384930,5.00,8737.38
3385,1515327985,384931,150.00,8887.38
3398,1515327998,384933,100.00,8987.38
3399,1515327999,384934,20.00,9007.38
3403,1515328003,384935,30.00,9037.38
3410,1515328010,384936,5.00,9042.38
3426,1515328026,384937,10.00,9052.38
3440,1515328040,384938,15.00,9067.38
3464,1515328064,384939,20.00,9087.38
3490,1515328090,384940,10.00,9097.38
3493,1515328093,384941,10.00,9107.38
3494,1515328094,384942,20.00,9127.38
3495,1515328095,384943,133.37,9260.75
3498,1515328098,384944,5.01,9265.76
3508,1515328108,384945,5.00,9270.76
3546,1515328146,384948,10.00,9280.76
3554,1515328154,384949,5.00,9285.76
3559,1515328159,384951,5.00,9290.76
3570,1515328170,384952,50.00,9340.76
3585,1515328185,384953,5.00,9345.76
3591,1515328191,384954,20.00,9365.76
3610,1515328210,384955,30.00,9395.76
3610,1515328210,384956,5.00,9400.76
3619,1515328219,384957,5.00,9405.76
3624,1515328224,384958,5.00,9410.76
3661,1515328261,384961,20.00,9430.76
3679,1515328279,384963,5.00,9435.76
3682,1515328282,384964,5.00,9440.76
3690,1515328290,384965,20.00,9460.76
3693,1515328293,384966,6.00,9466.76
3704,1515328304,384967,5.00,9471.76
3742,1515328342,384968,8.00,9479.76
3851,1515328451,384973,5.00,9484.76
3867,1515328467,384974,30.00,9514.76
3888,1515328488,384976,15.00,9529.76
3935,1515328535,384977,50.00,9579.76
3967,1515328567,384979,5.00,9584.76
3969,1515328569,384981,20.00,9604.76
3970,1515328570,384982,25.00,9629.76
4036,1515328636,384983,10.00,9639.76
4050,1515328650,384984,100.00,9739.76
4080,1515328680,384985,10.00,9749.76
4085,1515328685,384986,150.00,9899.76
4092,1515328692,384987,10.00,9909.76
4106,1515328706,384988,50.00,9959.76
4109,1515328709,384989,10.78,9970.54
4115,1515328715,384990,5.00,9975.54
4137,1515328737,384992,30.00,10005.54
4139,1515328739,384993,50.00,10055.54
4151,1515328751,384995,20.00,10075.54
4154,1515328754,384996,5.00,10080.54
4159,1515328759,384998,100.00,10180.54
4187,1515328787,384999,10.00,10190.54
4196,1515328796,385000,6.66,10197.20
4199,1515328799,385001,10.00,10207.20
4204,1515328804,385002,30.00,10237.20
4211,1515328811,385003,15.00,10252.20
4219,1515328819,385005,10.00,10262.20
4223,1515328823,385006,25.00,10287.20
4224,1515328824,385008,10.00,10297.20
4231,1515328831,385009,10.00,10307.20
4232,1515328832,385010,5.00,10312.20
4232,1515328832,385011,6.66,10318.86
4235,1515328835,385012,20.00,10338.86
4244,1515328844,385015,15.00,10353.86
4251,1515328851,385016,5.00,10358.86
4252,1515328852,385017,5.00,10363.86
4253,1515328853,385018,10.00,10373.86
4254,1515328854,385019,10.00,10383.86
4262,1515328862,385020,15.00,10398.86
4262,1515328862,385021,100.00,10498.86
4270,1515328870,385022,20.00,10518.86
4273,1515328873,385023,20.00,10538.86
4280,1515328880,385024,10.00,10548.86
4284,1515328884,385025,150.00,10698.86
4285,1515328885,385026,10.00,10708.86
4292,1515328892,385028,30.00,10738.86
4293,1515328893,385029,30.00,10768.86
4293,1515328893,385030,25.00,10793.86
4296,1515328896,385031,20.00,10813.86
4298,1515328898,385032,10.00,10823.86
4302,1515328902,385033,20.00,10843.86
4304,1515328904,385036,15.00,10858.86
4308,1515328908,385037,10.00,10868.86
4315,1515328915,385038,5.00,10873.86
4316,1515328916,385039,20.00,10893.86
4317,1515328917,385040,25.00,10918.86
4317,1515328917,385041,20.00,10938.86
4319,1515328919,385042,5.00,10943.86
4320,1515328920,385043,20.00,10963.86
4330,1515328930,385045,5.00,10968.86
4331,1515328931,385046,25.00,10993.86
4337,1515328937,385047,20.00,11013.86
4347,1515328947,385048,6.00,11019.86
4349,1515328949,385049,5.00,11024.86
4353,1515328953,385050,10.00,11034.86
4365,1515328965,385051,100.00,11134.86
4397,1515328997,385053,10.00,11144.86
4403,1515329003,385055,15.00,11159.86
4404,1515329004,385056,10.00,11169.86
4404,1515329004,385057,30.00,11199.86
4410,1515329010,385058,10.00,11209.86
4415,1515329015,385061,5.00,11214.86
4442,1515329042,385062,30.00,11244.86
4447,1515329047,385063,150.00,11394.86
4448,1515329048,385064,40.00,11434.86
4457,1515329057,385066,150.00,11584.86
4471,1515329071,385067,10.00,11594.86
4477,1515329077,385068,50.00,11644.86
4486,1515329086,385069,50.00,11694.86
4488,1515329088,385070,10.00,11704.86
4515,1515329115,385072,105.00,11809.86
4532,1515329132,385073,20.00,11829.86
4548,1515329148,385075,20.00,11849.86
4556,1515329156,385076,10.00,11859.86
4571,1515329171,385077,10.00,11869.86
4572,1515329172,385078,15.00,11884.86
4573,1515329173,385079,55.55,11940.41
4576,1515329176,385081,30.00,11970.41
4584,1515329184,385082,5.00,11975.41
4590,1515329190,385083,10.00,11985.41
4592,1515329192,385084,100.00,12085.41
4594,1515329194,385085,10.00,12095.41
4602,1515329202,385086,5.00,12100.41
4606,1515329206,385087,10.00,12110.41
4614,1515329214,385088,50.00,12160.41
4620,1515329220,385089,10.00,12170.41
4622,1515329222,385090,50.00,12220.41
4625,1515329225,385092,5.00,12225.41
4629,1515329229,385094,15.00,12240.41
4639,1515329239,385095,50.00,12290.41
