seconds,utc_unixtimestamp,donation_id,donation_amount,cumulative_donation_amount
-1484,1597575916,674516,25.00,25.00
-687,1597576713,674518,50.00,75.00
-107,1597577293,674521,5.00,80.00
-62,1597577338,674522,25.00,105.00
273,1597577673,674523,25.00,130.00
556,1597577956,674525,10.00,140.00
668,1597578068,674526,5.00,145.00
1066,1597578466,674528,25.00,170.00
1113,1597578513,674529,20.00,190.00
1162,1597578562,674530,10.00,200.00
1169,1597578569,674531,5.00,205.00
1459,1597578859,674532,100.00,305.00
1558,1597578958,674533,1000.00,1305.00
1602,1597579002,674534,25.00,1330.00
1757,1597579157,674535,25.00,1355.00
1773,1597579173,674536,10.00,1365.00
1905,1597579305,674537,20.20,1385.20
1983,1597579383,674538,100.00,1485.20
2001,1597579401,674539,5.00,1490.20
2106,1597579506,674540,15.00,1505.20
2107,1597579507,674541,100.00,1605.20
2126,1597579526,674542,30.00,1635.20
2141,1597579541,674543,25.00,1660.20
2164,1597579564,674544,14.20,1674.40
2187,1597579587,674545,25.00,1699.40
2206,1597579606,674546,10.00,1709.40
2344,1597579744,674548,75.00,1784.40
2519,1597579919,674550,30.00,1814.40
2576,1597579976,674551,50.00,1864.40
2769,1597580169,674554,10.00,1874.40
2921,1597580321,674555,5.00,1879.40
3099,1597580499,674557,37.93,1917.33
3173,1597580573,674558,10.00,1927.33
3240,1597580640,674559,25.00,1952.33
3253,1597580653,674560,100.00,2052.33
3256,1597580656,674561,25.00,2077.33
3273,1597580673,674562,25.00,2102.33
3312,1597580712,674565,50.00,2152.33
3321,1597580721,674566,5.00,2157.33
3326,1597580726,674567,5.00,2162.33
3364,1597580764,674568,10.00,2172.33
3365,1597580765,674569,30.00,2202.33
3386,1597580786,674570,26.00,2228.33
3387,1597580787,674571,10.00,2238.33
3389,1597580789,674572,30.00,2268.33
3401,1597580801,674573,30.00,2298.33
3403,1597580803,674574,50.00,2348.33
3411,1597580811,674575,50.00,2398.33
3444,1597580844,674576,15.00,2413.33
3448,1597580848,674577,750.00,3163.33
3460,1597580860,674578,50.00,3213.33
3479,1597580879,674579,25.00,3238.33
3480,1597580880,674580,10.00,3248.33
3486,1597580886,674581,100.00,3348.33
3491,1597580891,674582,10.00,3358.33
3513,1597580913,674584,10.00,3368.33
3518,1597580918,674585,25.00,3393.33
3532,1597580932,674586,25.00,3418.33
3534,1597580934,674587,30.00,3448.33
3538,1597580938,674588,5.00,3453.33
3541,1597580941,674589,25.00,3478.33
3547,1597580947,674591,5.00,3483.33
3548,1597580948,674592,5.00,3488.33
3561,1597580961,674594,100.00,3588.33
3572,1597580972,674596,50.00,3638.33
3575,1597580975,674597,25.00,3663.33
3581,1597580981,674598,25.00,3688.33
3598,1597580998,674599,25.00,3713.33
3599,1597580999,674600,5.00,3718.33
3638,1597581038,674602,20.00,3738.33
3646,1597581046,674603,10.00,3748.33
3661,1597581061,674604,25.00,3773.33
3673,1597581073,674605,25.00,3798.33
3699,1597581099,674606,25.00,3823.33
3704,1597581104,674607,10.00,3833.33
3726,1597581126,674608,25.00,3858.33
3733,1597581133,674609,100.00,3958.33
3737,1597581137,674611,5.00,3963.33
3743,1597581143,674612,25.00,3988.33
3762,1597581162,674613,50.00,4038.33
3763,1597581163,674614,5.00,4043.33
3776,1597581176,674616,15.00,4058.33
3791,1597581191,674617,5.00,4063.33
3796,1597581196,674618,30.00,4093.33
3864,1597581264,674620,10.00,4103.33
3906,1597581306,674622,10.00,4113.33
3918,1597581318,674623,10.00,4123.33
3929,1597581329,674624,5.00,4128.33
3929,1597581329,674625,25.00,4153.33
3938,1597581338,674626,30.00,4183.33
3956,1597581356,674629,50.00,4233.33
4018,1597581418,674630,5.00,4238.33
4045,1597581445,674631,50.00,4288.33
4116,1597581516,674634,5.00,4293.33
4134,1597581534,674635,5.00,4298.33
4167,1597581567,674636,25.00,4323.33
4176,1597581576,674637,50.00,4373.33
4210,1597581610,674639,10.00,4383.33
4302,1597581702,674642,6.00,4389.33
4303,1597581703,674643,500.00,4889.33
4318,1597581718,674644,5.00,4894.33
4349,1597581749,674646,30.00,4924.33
4365,1597581765,674647,25.00,4949.33
4366,1597581766,674648,5.00,4954.33
4388,1597581788,674649,5.00,4959.33
4391,1597581791,674650,50.00,5009.33
4393,1597581793,674651,5.00,5014.33
4399,1597581799,674652,25.00,5039.33
4412,1597581812,674653,10.00,5049.33
4432,1597581832,674654,100.00,5149.33
4432,1597581832,674655,25.00,5174.33
4461,1597581861,674656,15.00,5189.33
4464,1597581864,674657,1000.00,6189.33
4467,1597581867,674658,10.00,6199.33
4508,1597581908,674659,5.00,6204.33
4527,1597581927,674660,30.00,6234.33
4531,1597581931,674661,100.00,6334.33
4590,1597581990,674663,25.00,6359.33
4619,1597582019,674664,30.00,6389.33
4639,1597582039,674665,50.00,6439.33
4662,1597582062,674666,25.00,6464.33
4714,1597582114,674668,25.00,6489.33
4725,1597582125,674669,5.00,6494.33
4746,1597582146,674670,50.00,6544.33
4768,1597582168,674672,50.00,6594.33
4782,1597582182,674673,25.00,6619.33
4788,1597582188,674674,20.00,6639.33
4808,1597582208,674675,50.00,6689.33
4818,1597582218,674676,25.00,6714.33
