utc_unixtimestamp,donation_id,donation_amount
1579301449,665788,5.00
1579298430,665787,10.00
1579285316,665786,25.00
1579200984,665783,20.00
1579158709,665782,25.00
1579137620,665779,30.00
1579136316,665778,15.00
1579133376,665777,5.00
1579125073,665776,25.00
1579115299,665775,6829.50
1579105816,665774,15.00
1579090356,665773,5.00
1579063707,665771,100.00
1578980828,665764,5.00
1578978372,665763,10.00
1578974208,665760,50.00
1578971500,665759,325.00
1578970851,665758,25.00
1578939401,665752,20.00
1578934772,665751,10.00
1578932644,665749,9299.00
1578932577,665748,10000.00
1578924358,665747,100.00
1578923502,665746,1737.00
1578895799,665742,25.00
1578892107,665741,5.00
1578888234,665740,10.00
1578883296,665739,25.00
1578882911,665738,25.00
1578880958,665737,25.00
1578879168,665736,50.00
1578877831,665735,25.00
1578877543,665733,132.44
1578877336,665732,21.12
1578876911,665731,5.00
1578873681,665730,10.00
1578872138,665729,5.00
1578871928,665728,5.00
1578870555,665727,25.00
1578868049,665725,25.00
1578867184,665724,25.00
1578866770,665723,40.00
1578866175,665721,11.67
1578862422,665720,10.00
1578861897,665719,100.00
1578861431,665717,10.00
1578858973,665716,10.00
1578858112,665713,25.00
1578857467,665712,50.00
1578855360,665709,35.55
1578850563,665707,5.00
1578850266,665705,100.00
1578849649,665703,50.00
1578846511,665701,50.00
1578845947,665700,5.00
1578845190,665699,25.00
1578838620,665698,25.00
1578838478,665697,25.00
1578836573,665696,25.00
1578835955,665695,25.00
1578832802,665694,25.00
1578832365,665693,25.00
1578830825,665688,10.00
1578829058,665687,5.00
1578828098,665686,50.00
1578826148,665684,15.00
1578825037,665681,10.00
1578824956,665680,50.00
1578822644,665679,10.00
1578821239,665677,5.00
1578820916,665676,25.00
1578820916,665675,25.00
1578819287,665673,25.00
1578818454,665672,100.00
1578817822,665670,50.00
1578817767,665669,5.00
1578817198,665667,100.00
1578817133,665665,5.00
1578815567,665664,25.00
1578815333,665663,10.00
1578815313,665662,20.00
1578815275,665660,75.00
1578815242,665659,50.00
1578815162,665658,25.00
1578815124,665657,5.00
1578815082,665656,30.00
1578815074,665655,100.00
1578815061,665654,10.00
1578814993,665652,25.00
1578814978,665651,100.00
1578814970,665650,25.00
