name,players,description,startTime,endTime,bidWars
"Pre-Show Jokes","JHobz, Keizaron, Kungfufruitcup, Sent, SpikeVegeta, YellowKillerBee","","2020-08-16T11:30:00-04:00","2020-08-16T12:28:00-04:00","No"
"Demon's Souls Any%","BertoPlease","","2020-08-16T12:28:00-04:00","2020-08-16T13:54:00-04:00","No"
"Streets Of Rage 4 Arcade Mania - Blaze","Mike Uyama","","2020-08-16T13:54:00-04:00","2020-08-16T15:26:00-04:00","Yes"
"Rayman Legends Any%","DepressingChild","","2020-08-16T15:26:00-04:00","2020-08-16T17:25:00-04:00","No"
"Ico Any% Ps2 Pal","Beuchi","","2020-08-16T17:25:00-04:00","2020-08-16T19:02:00-04:00","Yes"
"Shovel Knight: King Of Cards Any%","davidtki","","2020-08-16T19:02:00-04:00","2020-08-16T20:00:00-04:00","Yes"
"Tony Hawk's Pro Skater 2x All Goals And Golds (All Career)","ThePackle","","2020-08-16T20:00:00-04:00","2020-08-16T20:56:00-04:00","No"
"Dusk Any% Out Of Bounds","B.G.B.","","2020-08-16T20:56:00-04:00","2020-08-16T21:36:00-04:00","No"
"Metal Gear Solid Any% Extreme","plywood","","2020-08-16T21:36:00-04:00","2020-08-16T23:15:00-04:00","Yes"
"Secret Of Mana Any% 1 Player 1 Controller","Crow!","","2020-08-16T23:15:00-04:00","2020-08-17T02:56:00-04:00","Yes"
"Millennium Racer Amateur Championship","Fireman","","2020-08-17T02:56:00-04:00","2020-08-17T03:56:00-04:00","No"
"Amnesia: The Dark Descent Any% (Quit-Outs Allowed)","bloodthunder","","2020-08-17T03:56:00-04:00","2020-08-17T04:34:00-04:00","No"
"Silhouette Mirage Any% Jp","kariohki","","2020-08-17T04:34:00-04:00","2020-08-17T05:25:00-04:00","Yes"
"Keio Flying Squadron 2 Beat The Game","Mee","","2020-08-17T05:25:00-04:00","2020-08-17T06:07:00-04:00","No"
"Kirby & The Amazing Mirror 100%","swordsmankirby","","2020-08-17T06:07:00-04:00","2020-08-17T07:30:00-04:00","Yes"
"Jimmy Neutron Vs. Jimmy Negatron Any%","culinwino","","2020-08-17T07:30:00-04:00","2020-08-17T07:58:00-04:00","No"
"Rabi-Ribi (Casual) 10 Town Members.","IIvgmII","","2020-08-17T07:58:00-04:00","2020-08-17T08:39:00-04:00","No"
"Adventures Of Lolo 2 Any%","rayeo","","2020-08-17T08:39:00-04:00","2020-08-17T09:27:00-04:00","No"
"New Ghostbusters Ii Any%","MadMegaX381","","2020-08-17T09:27:00-04:00","2020-08-17T10:03:00-04:00","Yes"
"Gravity Trooper - Metal Storm No Wrong Warp","MadMegaX381","","2020-08-17T10:03:00-04:00","2020-08-17T10:26:00-04:00","No"
"Chicken Of The Farm 100%","Xarnax42","","2020-08-17T10:26:00-04:00","2020-08-17T10:52:00-04:00","No"
"Micro Mages Any%","WhiteHat94","","2020-08-17T10:52:00-04:00","2020-08-17T11:20:00-04:00","No"
"Legacy Of The Wizard Any%","Dragondarch","","2020-08-17T11:20:00-04:00","2020-08-17T12:20:00-04:00","No"
"Kid Icarus Any%","fruitbatsalad","","2020-08-17T12:20:00-04:00","2020-08-17T12:59:00-04:00","Yes"
"Power Blade Any% Expert","NeoKad","","2020-08-17T12:59:00-04:00","2020-08-17T13:38:00-04:00","No"
"Zelda Ii: The Adventure Of Link Reverse Boss Order","EnchantressOfNumbers","","2020-08-17T13:38:00-04:00","2020-08-17T14:42:00-04:00","No"
